No.,Anatomical Region,Character,,A_afarensis,P_aethiopicus,A_africanus,P_robustus,P_boisei
1,Cranial,Projection of nasal bones above frontomaxillary suture,,"Projected, expanded","Projected, expanded",Variable,"Projected, expanded","Projected, expanded"
2,Cranial,Inferior orbital margin rounded laterally,,No,Yes,No,Yes,No
3,Cranial,Infraorbital foramen location,,High,Low, Variable,Low,Low
4,Cranial,Anterior pillars,,Absent,Absent,Variable,Present,Absent
5,Cranial,Nasoalveolar clivus contour in coronal plane,,Convex,Concave (gutter),Straight,Concave (gutter),Concave (gutter)
6,Cranial,Protrusion of incisor alveoli beyond bicanine line (basal view),,Yes,No,Yes,No,No
7,Cranial,Nasal cavity entrance,,Stepped,"Smooth, overlap",Stepped,"Smooth, overlap","Smooth, overlap"
8,Cranial,Palate thickness,,Thin,Thick,Thin,Thick,Thick
9,Cranial,Height of the masseter origin,,Low,High,High,High,High
10,Cranial,M-L thickness of zygomatic arch at root of frontal process,,Thin,Thick,Thin,Thick,Thick
11,Cranial,Anterior projection of zygomatic bone relative to piriform aperture (dishing),,Posterior,Anterior (dished),Variable posterior-interior,Anterior (dished),Anterior (dished)
12,Cranial,Anterior palatal depth,,Shallow,Shallow,Deep (shelved),Shallow,Deep (shelved)
13,Cranial,Index of palate protrusion anterior to sellion (facial prognathism),,Prognathic,Prognathic,Variable prognathic-mesognathic,Mesognathic,Mesognathic
14,Cranial,Masseteric position relative to sellion,,At or anterior,At or anterior,At or posterior,At or anterior,At or anterior
15,Cranial,Maxillary trigon (zygomaticomaxillary step),,Absent,Present,Absent,Present,Absent
16,Cranial,Cranial capacity,,<500 cm^3,<500 cm^3,400-500 cm^3,400-500 cm^3,400-500 cm^3
17,Cranial,Cerebellar morphology,,"Lateral flare, posterior protrusion","Lateral flare, posterior protrusion","Lateral flare, posterior protrusion",Tucked,Tucked
18,Cranial,O-M sinus present in high frequency,,Yes,No,Intermediate,Yes,Yes
19,Cranial,Anteromedial incursion of the superior temporal lines,,Moderate,Strong,Moderate,Moderate,Strong
20,Cranial,Sagittal crest present in presumptive males,,Yes,Yes,Yes,Yes,Yes
21,Cranial,"Compound T/N crest, at least in presumptive males",,Extensive,Extensive,Absent,NA,Partial
22,Cranial,Asterionic notch,,Present,Present,Absent,Absent,Absent
23,Cranial,Parietal overlap of occipital at asterion,,No,Yes,No,No,Yes
24,Cranial,"Squamosal suture overlap extensive, at least in males",,Not extensive,Extensive,Not extensive,NA,Extensive
25,Cranial,Latera inflation of mastoid process relative to supermastoid crest,,Not inflated,Inflated,Not inflated,Inflated,Inflated
26,Cranial,Postorbital constriction,,Moderate,Marked,Moderate,Marked,Marked
27,Cranial,Pneumatization of temporal squama,,Extensive,Extensive,Extensive,Reduced,Variable
28,Cranial,Facial hafting,,Low,High,Low,High,High
29,Cranial,Supraglenoid gutter width,,Narrow,Wide,Narrow,Wide,Wide
30,Cranial,External cranial base flexion,,NA,Flat,Moderate,Flexed,Flexed
31,Cranial,Horizontal distance between TMJ and M2/M3,,Long,Long,Long,Long,Long
